Name,Email,Age,City,Purchase_Amount
User0000,user0000@example.com,22,Los Angeles,146.72
User0001,user0001@example.com,20,New York,97.00
User0002,user0002@example.com,48,Phoenix,63.80
User0003,user0003@example.com,51,Philadelphia,144.34
User0004,user0004@example.com,62,Houston,366.72
User0005,user0005@example.com,22,Chicago,389.00
User0006,user0006@example.com,44,Houston,375.83
User0007,user0007@example.com,24,Los Angeles,267.62
User0008,user0008@example.com,75,Philadelphia,126.21
User0009,user0009@example.com,23,New York,400.18
User0010,user0010@example.com,51,Chicago,261.63
User0011,user0011@example.com,54,Houston,138.31
User0012,user0012@example.com,73,Philadelphia,359.09
User0013,user0013@example.com,58,Los Angeles,319.22
User0014,user0014@example.com,55,Phoenix,186.18
User0015,user0015@example.com,30,Los Angeles,115.52
User0016,user0016@example.com,69,Los Angeles,102.61
User0017,user0017@example.com,66,Los Angeles,432.20
User0018,user0018@example.com,44,New York,342.21
User0019,user0019@example.com,41,Phoenix,307.16
User0020,user0020@example.com,50,Houston,45.77
User0021,user0021@example.com,57,Los Angeles,407.13
User0022,user0022@example.com,74,Los Angeles,368.49
User0023,user0023@example.com,60,Los Angeles,168.25
User0024,user0024@example.com,64,New York,338.00
User0025,user0025@example.com,27,Los Angeles,35.39
User0026,user0026@example.com,39,Chicago,337.04
User0027,user0027@example.com,53,Los Angeles,142.39
User0028,user0028@example.com,33,Houston,329.89
User0029,user0029@example.com,53,Chicago,305.73
User0030,user0030@example.com,58,Philadelphia,228.44
User0031,user0031@example.com,55,Philadelphia,49.42
User0032,user0032@example.com,45,New York,46.81
User0033,user0033@example.com,75,Phoenix,327.62
User0034,user0034@example.com,33,Philadelphia,346.26
User0035,user0035@example.com,66,Chicago,23.27
User0036,user0036@example.com,26,Chicago,190.22
User0037,user0037@example.com,53,New York,280.05
User0038,user0038@example.com,59,Philadelphia,210.64
User0039,user0039@example.com,50,Philadelphia,177.55
User0040,user0040@example.com,63,New York,227.72
User0041,user0041@example.com,31,Philadelphia,377.91
User0042,user0042@example.com,43,Chicago,40.19
User0043,user0043@example.com,54,Los Angeles,125.34
User0044,user0044@example.com,60,Los Angeles,427.95
User0045,user0045@example.com,61,New York,365.83
User0046,user0046@example.com,35,Philadelphia,65.81
User0047,user0047@example.com,19,Los Angeles,183.67
User0048,user0048@example.com,49,New York,213.61
User0049,user0049@example.com,25,Phoenix,145.39
User0050,user0050@example.com,28,New York,279.04
User0051,user0051@example.com,55,Phoenix,328.18
User0052,user0052@example.com,26,Phoenix,317.45
User0053,user0053@example.com,29,New York,48.75
User0054,user0054@example.com,63,Phoenix,388.50
User0055,user0055@example.com,60,Chicago,493.62
User0056,user0056@example.com,41,Philadelphia,232.04
User0057,user0057@example.com,56,Houston,44.88
User0058,user0058@example.com,75,Chicago,10.82
User0059,user0059@example.com,51,Chicago,376.30
User0060,user0060@example.com,21,Chicago,194.55
User0061,user0061@example.com,33,Chicago,186.57
User0062,user0062@example.com,36,Chicago,156.01
User0063,user0063@example.com,75,Philadelphia,444.04
User0064,user0064@example.com,18,Philadelphia,174.64
User0065,user0065@example.com,31,Los Angeles,389.56
User0066,user0066@example.com,36,Phoenix,160.85
User0067,user0067@example.com,61,Los Angeles,306.61
User0068,user0068@example.com,27,Houston,238.99
User0069,user0069@example.com,26,Philadelphia,386.55
User0070,user0070@example.com,74,New York,495.26
User0071,user0071@example.com,25,Houston,298.57
User0072,user0072@example.com,52,Chicago,86.55
User0073,user0073@example.com,42,Los Angeles,84.77
User0074,user0074@example.com,58,Los Angeles,310.83
User0075,user0075@example.com,45,Phoenix,12.99
User0076,user0076@example.com,43,Phoenix,376.58
User0077,user0077@example.com,45,Philadelphia,134.23
User0078,user0078@example.com,32,Phoenix,338.79
User0079,user0079@example.com,71,New York,30.12
User0080,user0080@example.com,25,Phoenix,17.42
User0081,user0081@example.com,71,Los Angeles,274.15
User0082,user0082@example.com,37,Phoenix,372.90
User0083,user0083@example.com,71,Chicago,40.29
User0084,user0084@example.com,24,Philadelphia,10.30
User0085,user0085@example.com,72,Phoenix,203.40
User0086,user0086@example.com,40,Los Angeles,48.77
User0087,user0087@example.com,34,New York,439.25
User0088,user0088@example.com,73,Chicago,480.80
User0089,user0089@example.com,20,Houston,407.20
User0090,user0090@example.com,27,Phoenix,209.56
User0091,user0091@example.com,27,New York,153.31
User0092,user0092@example.com,31,Phoenix,401.05
User0093,user0093@example.com,34,Houston,374.99
User0094,user0094@example.com,31,New York,327.03
User0095,user0095@example.com,31,Chicago,481.34
User0096,user0096@example.com,18,Phoenix,103.70
User0097,user0097@example.com,34,Philadelphia,59.86
User0098,user0098@example.com,32,Phoenix,60.78
User0099,user0099@example.com,36,Houston,251.74
User0100,user0100@example.com,30,New York,490.69
User0101,user0101@example.com,61,Chicago,445.58
User0102,user0102@example.com,52,Los Angeles,416.67
User0103,user0103@example.com,66,New York,347.99
User0104,user0104@example.com,57,Houston,367.51
User0105,user0105@example.com,75,Chicago,498.14
User0106,user0106@example.com,19,Los Angeles,192.34
User0107,user0107@example.com,37,Los Angeles,307.55
User0108,user0108@example.com,46,Los Angeles,362.23
User0109,user0109@example.com,58,New York,200.67
User0110,user0110@example.com,39,New York,152.16
User0111,user0111@example.com,45,Phoenix,362.34
User0112,user0112@example.com,56,Philadelphia,19.73
